.dist-2.angle-10.size320x240.zoom0.b1_1.b2_0xbf814b2c.dist-2.angle-10.size320x240.zoom0.b1_1.b2_0xbf814b2c.dist-2.angle-10.size320x240.zoom0.b1_1.b2_1                              
Tiempo obstaculos = 210                                                                                                                                                             
Tiempo total de los totales = 300                                                                                                                                                   
nInitialP == 0                                                                                                                                                                      
57, 139                                                                                                                                                                             
114, 223                                                                                                                                                                            
91, 182                                                                                                                                                                             
12, 128                                                                                                                                                                             
287, 146                                                                                                                                                                            
134, 117                                                                                                                                                                            
304, 153                                                                                                                                                                            
64, 122                                                                                                                                                                             
9, 105                                                                                                                                                                              
74, 153                                                                                                                                                                             
211, 102                                                                                                                                                                            
43, 126                                                                                                                                                                             
292, 167                                                                                                                                                                            
26, 114                                                                                                                                                                             
26, 195                                                                                                                                                                             
99, 198                                                                                                                                                                             
303, 118                                                                                                                                                                            
227, 109                                                                                                                                                                            
313, 28                                                                                                                                                                             
246, 142                                                                                                                                                                            
279, 133                                                                                                                                                                            
246, 190                                                                                                                                                                            
123, 205                                                                                                                                                                            
12, 163                                                                                                                                                                             
39, 177                                                                                                                                                                             
91, 227                                                                                                                                                                             
310, 95                                                                                                                                                                             
286, 212                                                                                                                                                                            
260, 199                                                                                                                                                                            
276, 43                                                                                                                                                                             
275, 9                                                                                                                                                                              
9, 77                                                                                                                                                                               
227, 155                                                                                                                                                                            
308, 226                                                                                                                                                                            
301, 80                                                                                                                                                                             
83, 204                                                                                                                                                                             
91, 160                                                                                                                                                                             
152, 112                                                                                                                                                                            
172, 168                                                                                                                                                                            
265, 163                                                                                                                                                                            
109, 162                                                                                                                                                                            
87, 120                                                                                                                                                                             
6, 143                                                                                                                                                                              
109, 127                                                                                                                                                                            
308, 4                                                                                                                                                                              
188, 157                                                                                                                                                                            
156, 148                                                                                                                                                                            
304, 135                                                                                                                                                                            
149, 168                                                                                                                                                                            
232, 182                                                                                                                                                                            
40, 153                                                                                                                                                                             
270, 111                                                                                                                                                                            
